n_transforms,pad,pad_mode,levels,masking_mode,z_score_mode,image_auroc,image_ap,image_f1,image_threshold
4,112,reflect,0,zero,topk_0.05,0.5081521739130435,0.25486506709508416,0.44117646698961943,128.69720458984375
4,112,reflect,0,mean_impute,mean,0.7228260869565217,0.43958462855523484,0.571428567030404,1.8109350204467773
4,112,reflect,0,mean_impute,max,0.4184782608695652,0.2410536777848199,0.4102564069953978,75.5819091796875
4,112,reflect,0,mean_impute,topk_0.1,0.6902173913043479,0.4158101216864804,0.5283018825774297,11.187034606933594
4,112,reflect,0,mean_impute,topk_0.05,0.6603260869565217,0.40399384955375134,0.5084745723182994,16.284053802490234
4,112,reflect,1,zero,mean,0.4415760869565218,0.23101400860150034,0.4507042218607419,121.57095336914062
4,112,reflect,1,zero,max,0.3994565217391305,0.21500754463201802,0.4444444406550768,32789.875
4,112,reflect,1,zero,topk_0.1,0.4375,0.22807215331661776,0.4507042218607419,1042.9691162109375
4,112,reflect,1,zero,topk_0.05,0.43342391304347827,0.22705362768871712,0.4507042218607419,1865.9873046875
4,112,reflect,1,mean_impute,mean,0.6603260869565217,0.3349396469417039,0.5660377316340335,1.3034464120864868
4,112,reflect,1,mean_impute,max,0.6385869565217391,0.3217421519726893,0.5660377316340335,98.23464965820312
4,112,reflect,1,mean_impute,topk_0.1,0.6589673913043478,0.33598529925207926,0.5660377316340335,7.4467878341674805
4,112,reflect,1,mean_impute,topk_0.05,0.6630434782608695,0.34206978435240787,0.5660377316340335,11.243908882141113
4,112,reflect,2,zero,mean,0.6915760869565217,0.5228760323052717,0.5238095190929706,2397.081787109375
4,112,reflect,2,zero,max,0.703804347826087,0.5264594267569154,0.5416666622222223,447336.34375
4,112,reflect,2,zero,topk_0.1,0.6888586956521738,0.5214372108089311,0.5238095190929706,22254.388671875
4,112,reflect,2,zero,topk_0.05,0.6875,0.5207923695390899,0.5238095190929706,41583.01171875
4,112,reflect,2,mean_impute,mean,0.7336956521739131,0.42337939567426225,0.5660377316340335,0.8805230259895325
4,112,reflect,2,mean_impute,max,0.6413043478260869,0.33449776026646216,0.5333333294222222,30.494159698486328
4,112,reflect,2,mean_impute,topk_0.1,0.7255434782608696,0.3962073021066388,0.581818177692562,4.44996452331543
4,112,reflect,2,mean_impute,topk_0.05,0.7201086956521741,0.379400989717412,0.5957446763603441,7.2160773277282715
4,112,replicate,0,zero,mean,0.35733695652173914,0.20936479233622524,0.4210526282548477,11.017470359802246
4,112,replicate,0,zero,max,0.264945652173913,0.19221655381970154,0.4102564069953978,1992.536865234375
4,112,replicate,0,zero,topk_0.1,0.328804347826087,0.20298255913698263,0.4102564069953978,76.31941986083984
4,112,replicate,0,zero,topk_0.05,0.3070652173913043,0.19989661446682333,0.4102564069953978,124.2592544555664
4,112,replicate,0,mean_impute,mean,0.6372282608695652,0.35545625320750357,0.49180327481859726,1.8063045740127563
4,112,replicate,0,mean_impute,max,0.41983695652173914,0.2228689560202043,0.44067796214880783,102.31947326660156
4,112,replicate,0,mean_impute,topk_0.1,0.6616847826086957,0.3731385734578459,0.4999999959183673,11.626816749572754
4,112,replicate,0,mean_impute,topk_0.05,0.6467391304347826,0.3740776099174817,0.48275861669441145,17.733491897583008
4,112,replicate,1,zero,mean,0.3967391304347826,0.22273008426283322,0.4266666633102223,80.92720794677734
4,112,replicate,1,zero,max,0.3967391304347826,0.22044170557139187,0.4210526282548477,15170.419921875
4,112,replicate,1,zero,topk_0.1,0.39945652173913043,0.22388524475896468,0.4266666633102223,663.0177612304688
4,112,replicate,1,zero,topk_0.05,0.4008152173913043,0.2243865816573604,0.4266666633102223,1162.5050048828125
4,112,replicate,1,mean_impute,mean,0.6331521739130435,0.3346828758204723,0.5384615342011835,1.3130766153335571
4,112,replicate,1,mean_impute,max,0.7010869565217391,0.3671892971838922,0.5909090862809917,110.07076263427734
